cell 0: ['SUB', '$33', '$64']
cell 1: ['ADD', '$60', '$60']
cell 2: ['ADD', '$61', '$61']
cell 3: ['SUB', '$76', '$80']
cell 4: ['SUB', '$25', '$59']
cell 5: ['ADD', '$58', '$28']
cell 6: ['ADD', '$88', '$59']
cell 7: ['ADD', '$32', '$32']
cell 8: ['ADD', '$83', '$21']
cell 9: ['ADD', '$69', '$39']
cell 10: ['ADD', '$57', '$64']
cell 11: ['ADD', '$26', '$26']
cell 12: ['ADD', '$1', '$1']
cell 13: ['SUB', '$62', '$68']
cell 14: ['ADD', '$73', '$1']
cell 15: ['ADD', '$50', '$27']
cell 16: ['SUB', '$24', '$2']
cell 17: ['ADD', '$14', '$12']
cell 18: ['ADD', '$10', '$89']
cell 19: ['SUB', '$67', '$35']
cell 20: ['ADD', '$58', '$58']
cell 21: ['ADD', '$7', '$7']
cell 22: ['SUB', '$0', '$89']
cell 23: ['ADD', '$20', '$20']
cell 24: ['SUB', '$43', '$61']
cell 25: ['SUB', '$53', '$11']
cell 26: ['ADD', '$37', '$37']
cell 27: ['ADD', '$82', '$47']
cell 28: ['ADD', '$90', '$2']
cell 29: ['ADD', '$89', '$89']
cell 30: ['ADD', '$85', '$85']
cell 31: ['SUB', '$91', '$47']
cell 32: ['ADD', '$69', '$69']
cell 33: ['SUB', '$46', '$86']
cell 34: ['SUB', '$42', '$20']
cell 35: ['ADD', '$12', '$12']
cell 36: ['ADD', '$56', '$8']
cell 37: ['ADD', '$72', '$72']
cell 38: ['ADD', '$9', '$32']
cell 39: ['ADD', '$30', '$77']
cell 40: ['ADD', '$80', '$48']
cell 41: ['ADD', '$79', '$81']
cell 42: ['SUB', '$16', '$58']
cell 43: ['SUB', '$44', '$56']
cell 44: ['SUB', '$63', '$21']
cell 45: ['ADD', '$20', '$5']
cell 46: ['SUB', '$49', '$81']
cell 47: ['ADD', '$54', '$54']
cell 48: ['ADD', '$29', '$18']
cell 49: ['SUB', '$34', '$23']
cell 50: ['ADD', '$47', '$47']
cell 51: ['SUB', '$74', '$32']
cell 52: ['SUB', '$17', '$72']
cell 53: ['SUB', '$71', '$26']
cell 54: ['ADD', '$59', '$59']
cell 55: ['ADD', '$15', '$68']
cell 56: ['ADD', '$21', '$21']
cell 57: ['ADD', '$86', '$41']
cell 58: ['ADD', '$2', '$2']
cell 59: ['ADD', '$11', '$11']
cell 60: ['ADD', '$80', '$80']
cell 61: ['ADD', '$56', '$56']
cell 62: ['SUB', '$31', '$50']
cell 63: ['SUB', '$51', '$7']
cell 64: ['ADD', '$86', '$86']
cell 65: ['ADD', '$72', '$35']
cell 66: ['SUB', '$75', '$30']
cell 67: ['SUB', '$70', '$12']
cell 68: ['ADD', '$50', '$50']
cell 69: ['ADD', '$30', '$30']
cell 70: ['SUB', '$84', '$1']
cell 71: ['SUB', '$52', '$37']
cell 72: ['VALUE', '1', '_']
cell 73: ['ADD', '$40', '$60']
cell 74: ['SUB', '$66', '$69']
cell 75: ['SUB', '$13', '$85']
cell 76: ['SUB', '$22', '$29']
cell 77: ['ADD', '$55', '$85']
cell 78: ['ADD', '$37', '$65']
cell 79: ['ADD', '$23', '$45']
cell 80: ['ADD', '$29', '$29']
cell 81: ['ADD', '$23', '$23']
cell 82: ['ADD', '$54', '$6']
cell 83: ['ADD', '$38', '$7']
cell 84: ['SUB', '$3', '$60']
cell 85: ['ADD', '$68', '$68']
cell 86: ['ADD', '$81', '$81']
cell 87: ['ADD', '$78', '$26']
cell 88: ['ADD', '$87', '$11']
cell 89: ['ADD', '$64', '$64']
cell 90: ['ADD', '$61', '$36']
cell 91: ['SUB', '$4', '$54']
